order_id,user_id,product_id,timestamp
O100,U01,P001,2026-07-20T10:00:00
O100,U01,P002,2026-07-20T10:00:00
O101,U02,P005,2026-07-20T10:05:00
O101,U02,P007,2026-07-20T10:05:00
O102,U03,P008,2026-07-20T10:10:00
O102,U03,P009,2026-07-20T10:10:00
O102,U03,P010,2026-07-20T10:10:00
O103,U01,P003,2026-07-20T10:15:00
O104,U02,P006,2026-07-20T10:20:00
O105,U04,P001,2026-07-20T10:25:00
O106,U04,P003,2026-07-20T10:30:00
O107,U05,P008,2026-07-20T10:35:00
O107,U05,P010,2026-07-20T10:35:00
O108,U01,P004,2026-07-20T10:40:00
