item_id,x,y,cluster
89868,0.5175271,-0.46542266,Grupo 2
325170,0.06726134,0.065975636,Grupo 6
112994,0.31524503,0.024797924,Grupo 3
137386,0.3483324,-0.0850563,Grupo 4
454560,-0.82348174,0.14173572,Grupo 6
272392,-0.74929094,0.6597264,Grupo 5
201656,0.47347116,0.10295752,Grupo 4
273367,-0.6708253,-0.10750675,Grupo 6
210893,-0.3683213,0.5366038,Grupo 5
12879,0.17373145,-0.39331844,Grupo 6
82001,0.52599907,-0.66142106,Grupo 2
346004,0.5640595,-0.43612576,Grupo 4
57593,-0.86736655,0.08601308,Grupo 6
41722,0.73581886,0.2722178,Grupo 4
222848,-0.2928331,-0.5062376,Grupo 6
91206,-0.9738044,0.13645567,Grupo 5
359935,0.7515719,-0.10832302,Grupo 4
89438,-1.2505224,-0.26210958,Grupo 1
66111,0.31702495,-0.06660468,Grupo 3
251000,0.91357493,0.20316163,Grupo 4
456233,0.17740703,0.07391557,Grupo 6
108224,0.3625028,-0.13103637,Grupo 3
38180,-0.7384011,0.29683307,Grupo 5
295253,0.42324305,0.034898117,Grupo 3
104289,0.6470828,0.041224636,Grupo 4
350533,-0.3224808,-0.10925276,Grupo 6
150482,-0.49065006,0.642336,Grupo 6
239147,0.49361348,-0.13051169,Grupo 2
143309,0.13540304,-0.35609448,Grupo 3
308905,0.43164873,-0.155669,Grupo 4
377407,-0.72555876,0.18059988,Grupo 5
283770,-0.53148603,0.17177574,Grupo 5
373788,0.2412126,0.1911332,Grupo 3
404985,-0.3090434,0.31840688,Grupo 3
56968,0.57658315,-0.43408936,Grupo 4
23884,0.5664358,0.067271516,Grupo 4
172259,0.5982728,-0.33549508,Grupo 4
89392,-0.7110512,0.23948455,Grupo 5
103085,0.5181978,0.08278249,Grupo 4
280773,0.7076199,-0.011893157,Grupo 4
189300,-0.21922123,-0.549966,Grupo 1
186385,-0.1469419,0.6424155,Grupo 3
75043,0.23773432,-0.5884001,Grupo 3
93085,0.07227087,-0.2947923,Grupo 6
133093,0.7676542,-0.28321636,Grupo 4
218913,0.5437207,0.23410943,Grupo 2
288986,0.7557719,-0.143332,Grupo 4
176338,-0.28460765,-0.10679547,Grupo 6
112654,0.37849474,-0.20788613,Grupo 3
341862,0.30366242,0.34832814,Grupo 3
92004,-0.22811878,-0.12682179,Grupo 6
339087,-0.6909609,0.28357986,Grupo 5
335366,-0.3257364,0.08591552,Grupo 6
353142,-0.3665862,0.036835566,Grupo 6
313448,-0.98656297,0.27456862,Grupo 5
411664,0.89352703,0.02460578,Grupo 4
64790,-0.44041955,0.29285458,Grupo 5
395664,0.27962053,-0.05974086,Grupo 3
196691,0.5967982,0.41386276,Grupo 2
200324,0.5048299,-0.29112118,Grupo 2
250235,-1.2092966,-0.9279957,Grupo 1
50467,-0.42367792,0.18077938,Grupo 5
394747,-0.33534873,-0.5388304,Grupo 6
140076,-0.18337452,0.26947898,Grupo 2
107109,-0.51974344,0.6851522,Grupo 6
298797,0.8249197,-0.30730274,Grupo 4
391395,0.47346282,0.10475448,Grupo 2
82060,-0.30400014,0.25533405,Grupo 6
152148,0.40685725,-0.23049268,Grupo 4
186260,-1.20981,-0.7916844,Grupo 1
172722,0.5522282,0.21534488,Grupo 4
309915,0.16229379,0.22499225,Grupo 3
176862,-0.98208255,0.27766296,Grupo 5
128723,-0.42308116,-0.33049124,Grupo 1
218509,-0.13440335,-1.2682383,Grupo 1
47619,0.3582821,0.67550576,Grupo 3
74758,-0.6097288,-0.02156543,Grupo 6
399267,0.6341977,-0.235584,Grupo 4
111566,0.707973,-0.20041534,Grupo 4
337975,-0.96494865,0.06375046,Grupo 5
240401,0.7695124,0.21538869,Grupo 4
75666,0.6080313,0.03202597,Grupo 4
237090,-0.3627981,-0.30126172,Grupo 6
307806,0.57631207,0.15630692,Grupo 2
230191,0.5881772,0.4773787,Grupo 4
311432,0.59808946,-0.3068013,Grupo 4
260599,0.76598,0.26146907,Grupo 2
404864,-0.8756001,-0.27493837,Grupo 6
52927,0.69855523,0.48625967,Grupo 2
146979,0.059473395,-0.29085386,Grupo 3
443102,0.51801443,0.25026423,Grupo 4
397491,0.52150893,-0.39132285,Grupo 2
11028,0.32899106,-0.23252277,Grupo 4
59811,-0.661682,0.54581046,Grupo 5
448981,-0.36871958,0.22763991,Grupo 5
218559,0.29499865,0.57046306,Grupo 3
178498,-0.9935324,-0.04652687,Grupo 5
251911,-0.08704543,0.61308503,Grupo 6
207280,0.23223436,0.41994753,Grupo 3
458152,-0.38100314,0.29410818,Grupo 3
63548,0.33369887,-0.21055073,Grupo 4
173593,0.38341713,-0.08039611,Grupo 2
225011,0.8845978,0.076061755,Grupo 4
189404,0.46188974,0.18095957,Grupo 2
118113,0.48641872,0.41811863,Grupo 3
393419,-1.2605886,0.18380967,Grupo 5
75141,-0.29872513,0.5280448,Grupo 2
281992,0.52608776,0.13316403,Grupo 4
92078,-1.040446,-0.023548495,Grupo 6
304027,-0.57425356,1.0023261,Grupo 5
155003,0.53355145,-0.30835658,Grupo 4
7890,0.8505645,-0.165958,Grupo 4
335353,0.75596786,0.17822787,Grupo 2
223905,-0.45499718,-0.5733967,Grupo 1
308779,-0.6962682,-0.063875616,Grupo 6
421979,-0.45540166,0.23539731,Grupo 5
44105,-0.058976173,-0.69068253,Grupo 3
403423,-0.1659652,-0.47091594,Grupo 6
84764,0.10735023,-0.3336154,Grupo 6
125819,-0.50455296,0.43042138,Grupo 5
198400,-1.3741765,-1.0949537,Grupo 1
79717,0.8578298,-0.15492028,Grupo 4
237987,0.7234111,0.2727901,Grupo 2
443652,-0.16486204,0.07445128,Grupo 6
75025,0.34892988,0.38939965,Grupo 4
189156,-0.14016092,0.062320337,Grupo 6
276778,0.56822824,-0.11017214,Grupo 4
177721,0.33055866,0.2232703,Grupo 3
441576,0.5797472,-0.27189082,Grupo 4
364117,-0.4758916,-0.2791739,Grupo 1
166861,0.24419749,-0.1305297,Grupo 4
213109,-0.74220115,-0.07122791,Grupo 6
256351,0.48147607,-0.22255675,Grupo 3
209184,-0.808811,0.07277821,Grupo 6
238752,0.34880686,-0.12510967,Grupo 2
111301,0.6625035,-0.36763012,Grupo 4
124721,-0.31378818,0.5220047,Grupo 6
325812,0.39263248,0.2989964,Grupo 3
160318,-0.33730102,0.09338029,Grupo 6
447110,0.733732,0.22918078,Grupo 4
104734,0.6201191,0.58287776,Grupo 3
167162,-1.077996,0.22987968,Grupo 5
